                                                                                                                                                               API TEST CASE DESIGN EXERCISE,,,,,,
Task 1: User Registration API,,,,,,
Test ID,Test Description,Test Procedure,Test Data,Expected Result, Actual Result,Status
TC_001,"Verify username with length
4 characters","1.Enter username with 
4 characters",abcd,Should accept the username,Username accepted,
TC_002,"Verify username with length
20 characters","1.Enter username with 
20 characters",,Should accept the username,Username accepted,
TC_003,Verify unique username,1.Enter a unique username,abcdfhu,Should accept the username,Username accepted,
TC_004,Verify blank username,"1.Leave username empty
and submit",,"Error message should be
displayed",Error message displayed,
TC_005,Verify valid email,1.Enter email and submit,abcd@gmail.com,Should accept the email,Emailid accepted,
TC_006,"Verify password with less than
8 characters",1.Enter password and submit,sdvg23,"Error message should be
displayed",Error message displayed,
TC_007,Verify empty password,"1.Leave password field empty
and submit",,"Error message should be
displayed",Error message displayed,
TC_008,Verify email without @,1.Enter email without @ and submit,avcdgmail.com,"Error message should be
displayed",Error message displayed,
TC_009,Verify email without username,1.Enter email without username and submit,,"Error message should be
displayed",Error message displayed,
TC_010,"Verify password with length
7 characters","1.Enter password with length
7 characters and submit",iutwe23,"Error message should be
displayed",Error message displayed,
TC_011,"Verify password with length
greater than 8 characters","1.Enter password with length
greater than 8 characters and submit",iuthnbvf567,Should accept the password,Password accepted,
TC_012,"Verify username with length
3 characters","1.Enter username with length
3 characters and submit",bfr,"Error message should be
displayed",Error message displayed,
TC_013,"Verify username with length
21 characters","1.Enter username with length
21 characters and submit",,"Error message should be
displayed",Error message displayed,
,,,,,,
Task 2: Login API,,,,,,
Test ID,Test Description,Test Procedure,Test Data,Expected Result, Actual Result,Status
TC_001,Verify login with valid credentials,"1.Enter the username and password
2.Click on login",,Should login with valid credentials,Logged in succesfully,
TC_002,Verify login with invalid password,"1.Enter a valid username and invalid
password
2.Click on login",,"Error message should be
displayed",Error message displayed,
TC_003,Verify login with invalid username,"1.Enter a invalid username and valid
password
2.Click on login",,"Error message should be
displayed",Error message displayed,
TC_004,Verify login with both fields invalid,"1.Enter a invalid username and
password
2.Click on login",,"Error message should be
displayed",Error message displayed,
TC_005,Verify login with username empty,"1.Keep  username empty and enter password
2.Click on login",,"Error message should be
displayed",Error message displayed,
TC_006,Verify login with password empty,"1.Enter username and keep password
empty
2.Click on login",,"Error message should be
displayed",Error message displayed,
TC_007,"Verify login with both fields
empty","1.Keep both username and password
empty.
2.Click on login",,"Error message should be
displayed",Error message displayed,
TC_008,Verify security masking,"1.Enter the password
2.Check if the password is masked while
entering",,Password should be masked,Password is masked,
TC_009,"Verify if account gets locked
after mutiple failed attempts","1.Enter the username and password
2.Click on login
3.Try multiple times with incorrect credentials",,"Error message should be
displayed",Error message displayed,
TC_010,Verify session timeout,"1.Enter the username and password
2.Click on login
3.Verify session timeout occurs immediately
after entering otp",,"Session timeout should occur
immediately after entering otp","Session timeout occurs
immediately after entering otp",
,,,,,,
Task 3: Product Search,,,,,,
Test ID,Test Description,Test Procedure,Test Data,Expected Result, Actual Result,Status
TC_001,"Verify search with valid product
name","1.Login
2.Search with valid product name and wait
for the results",,"Results of search product should
be displayed",Results of search product is displayed,
TC_002,"Verify search with partial product
name","1.Login
2.Search with partial product name and wait
for the results",,,,
TC_003,"Verify search with special
characters",1.Search with special characters,,"Error message should be
displayed",Error message displayed,
TC_004,Verify search with empty field,1.Search with empty field,,"Error message should be
displayed",Error message displayed,
TC_005,Verify filter by price range,"1.Filter the price range either from low
to high or high to low",,"Results of search product
with applied price range should
be displayed","Results of search product
with applied price range is displayed",
TC_006,Verify filter by maximum price range,1.Filter the price range to maximum,,,,
TC_007,Verify search with valid keyword,,,,,
TC_008,Verify search suggestion,,,,,
TC_009,Verify search with long input,1.Enter a long input to search,,"Error message should be
displayed",Error message displayed,
TC_010,Verify search with random string,1.Search with a random string,,"Error message should be
displayed",Error message displayed,
TC_011,"Verify search for unavailable
products",1.Search for unavailable products,,"Error message should be
displayed",Error message displayed,
,,,,,,
,,,,,,
Task 4: Create Order,,,,,,
Test ID,Test Description,Test Procedure,Test Data,Expected Result, Actual Result,Status
TC_001,"Verify order creation with 
valid credentials","1.Enter order id and order details
2.Click on create order",,Order should be created,Order is created,
TC_002,"Verify order creation with 
minimum valid quantity","1.Enter order id and order details
2.Click on create order
3.Set a minimum order quantity",,Order should be created,Order is created,
TC_003,"Verify order creation with 
maximum allowed quantity","1.Enter order id and order details
2.Click on create order
3.Set a maximum order quantity",,Order should be created,Order is created,
TC_004,Verify order with zero quantity,"1.Enter order id and order details
2.Click on create order by not adding anything
",,"Error message should be
displayed",Error message displayed,
TC_005,Verify order with negative quantity,,,"Error message should be
displayed",Error message displayed,
TC_006,Verify order with large quantity,,,"Error message should be
displayed",Error message displayed,
TC_007,"Verify order with non-existent
user id","1.Enter a non-existent user id
2.Click on order",,"Error message should be
displayed",Error message displayed,
TC_008,"Verify order with non-existent
product id","1.Enter a non-existent product id
2.Click on order",,"Error message should be
displayed",Error message displayed,
TC_009,"Verify order with non-existent
user id and product id","1.Enter a non-existent user and product id
2.Click on order",,"Error message should be
displayed",Error message displayed,
TC_010,Verify duplicate order request,1.Enter same product and try to order,,"Error message should be
displayed",Error message displayed,
TC_011,"Verify repeated API request 
due to network issue","1.Enter API request and test repeatedly
due to network issues",,"Error message should be
displayed",Error message displayed,
,,,,,,
Task 5: Delete User,,,,,,
Test ID,Test Description,Test Procedure,Test Data,Expected Result, Actual Result,Status
TC_001,Verify deletion with valid userid,1.Enter a valid userid and click on delete,,"User with valid userid should
be deleted",User with valid userid is deleted,
TC_002,"Verify deletion of an active existing
user",1.Enter an existing user id and delete,,"User with valid userid should
be deleted",User with valid userid is deleted,
TC_003,"Verify deletion of non-existing
user",1.Enter a non existing user and click on delete,,"Error message should be
displayed",Error message displayed,
TC_004,"Verify deletion of already
deleted user","1.Enter a userid that has been deleted
and click on delete",,"Error message should be
displayed",Error message displayed,
TC_005,Verify deletion with large ID,1.Enter a large  userid and delete,,"Error message should be
displayed",Error message displayed,
TC_006,Verify deletion with empty ID,1.Keep the userid empty and delete,,"Error message should be
displayed",Error message displayed,
TC_007,"Verify deletion with alphabetic
ID",,,"Error message should be
displayed",Error message displayed,
TC_008,Verify repeated deletion requests,1.Keep on deleting requests,,"Error message should be
displayed",Error message displayed,
,,,,,,
,                                                                                                                                 API TESTING WITH DATABASE VALIDATION,,,,,
Task 1: Create User,,,,,,
Test ID,Test Description,Test Procedure,Test Data,Expected Result, Actual Result,Status
TC_001,"Verify account retrieval with
valid user ID",1.Enter a valid userid and try retrieving account,,"Account should be retrieved
using valid userid","Account is retrieved
using valid userid",
TC_002,"Verify account retrieval with
valid email id",1.Enter a valid emailid and try retrieving account,,"Account should be retrieved
using valid emailid","Account is retrieved
using valid emailid",
TC_003,"Verify account retrieval with
valid username",,,,,
TC_004,Verify with empty input,,,,,
TC_005,Verify with large username,,,,,
TC_006,"Verify with username as
special characters",,,,,
